ds,Close,High,Low,Open,Adj Close,Volume
09-01-2012,60.247143,61.107143,60.192856,60.785713,52.29697,98506100
10-01-2012,60.462856,60.857143,60.214287,60.844284,52.484222,64549100
11-01-2012,60.364285,60.407143,59.901428,60.382858,52.398655,53771200
12-01-2012,60.19857,60.414288,59.82143,60.325714,52.254814,53146800
13-01-2012,59.972858,60.064285,59.808571,59.957142,52.05888,56505400
17-01-2012,60.671429,60.855713,60.422855,60.599998,52.665272,60724300
18-01-2012,61.30143,61.352856,60.900002,60.994286,53.212147,69197800
19-01-2012,61.107143,61.624287,60.93,61.450001,53.043495,65434600
20-01-2012,60.042858,61.07143,59.964287,61.07,52.119652,103493600
23-01-2012,61.058571,61.207142,60.328571,60.381428,53.001335,76515600
24-01-2012,60.058571,60.728573,59.935715,60.728573,52.133289,136909500
25-01-2012,63.808571,64.921425,63.389999,64.919998,55.388439,239578500
26-01-2012,63.51857,64.112854,63.305714,64.05143,55.136707,80996300
27-01-2012,63.897144,64.068573,63.395714,63.477142,55.465321,74927300
30-01-2012,64.715714,64.842857,63.627144,63.672855,56.17588,94835300
31-01-2012,65.211426,65.46286,64.724289,65.084282,56.606174,97920900
01-02-2012,65.169998,65.57,65.078575,65.487144,56.570229,67511500
02-02-2012,65.017143,65.309998,64.854286,65.128571,56.437527,46699100
03-02-2012,65.668571,65.714287,65.080002,65.328575,57.00301,71649900
06-02-2012,66.281425,66.425713,65.457146,65.482857,57.534985,62353200
07-02-2012,66.975716,67.10714,66.368568,66.464287,58.137642,79055900
08-02-2012,68.097145,68.112854,67.099998,67.214287,59.11108,101972500
09-02-2012,70.452858,70.964287,68.651428,68.68,61.155975,221053700
10-02-2012,70.488571,71.08857,69.792854,70.137146,61.186947,157825500
13-02-2012,71.800003,71.975716,71.012856,71.361427,62.325325,129304000
14-02-2012,72.779999,72.794289,71.714287,72.094284,63.176003,115099600
15-02-2012,71.095711,75.184288,70.984283,73.465714,61.713982,376530000
16-02-2012,71.744286,72.127144,69.51857,70.214287,62.276939,236138000
17-02-2012,71.73143,72.538574,71.471428,71.872856,62.2658,133951300
21-02-2012,73.550003,73.550003,72.017143,72.41143,63.844391,151398800
22-02-2012,73.291428,73.641426,72.724289,73.297142,63.619949,120825600
23-02-2012,73.769997,73.975716,72.785713,73.582855,64.035378,142006900
24-02-2012,74.629997,74.699997,74.091431,74.238571,64.781898,103768000
27-02-2012,75.108574,75.5,73.754288,74.472855,65.197319,136895500
28-02-2012,76.487144,76.487144,75.121429,75.422859,66.393959,150096800
29-02-2012,77.491432,78.230003,76.528572,77.365715,67.265724,238002800
01-03-2012,77.781425,78.315712,76.96714,78.309998,67.517464,170817500
02-03-2012,77.882858,78.114288,77.502853,77.748573,67.605492,107928100
05-03-2012,76.165718,78.211426,75.14286,77.917145,66.114967,202281100
06-03-2012,75.751427,76.241432,73.745712,74.808571,65.755348,202559700
07-03-2012,75.812859,76.825714,74.757141,76.685715,65.808655,199630200
08-03-2012,77.427139,77.57,76.017143,76.384285,67.209908,129114300
09-03-2012,77.881432,78.248573,77.587143,77.744286,67.604279,104729800
12-03-2012,78.85714,78.85714,78.14286,78.425713,68.451202,101820600
13-03-2012,81.157143,81.168571,79.39286,79.648575,70.447701,172713800
14-03-2012,84.225716,84.959999,82.199997,82.578575,73.111374,354711000
15-03-2012,83.651428,85.715714,82.650002,85.658569,72.612862,289929500
16-03-2012,83.652855,84.171425,82.571426,83.531425,72.61409,206371900
19-03-2012,85.871429,85.96714,84.150002,85.48143,74.539894,225309000
20-03-2012,86.565712,86.699997,84.497147,85.644287,75.142578,204165500
21-03-2012,86.071426,87.092857,85.915718,86.105713,74.713524,161010500
22-03-2012,85.620003,86.35714,85.075714,85.397141,74.321663,155967700
23-03-2012,85.150002,85.971428,84.914284,85.784286,73.913658,107622200
26-03-2012,86.711426,86.735718,85.03714,85.684288,75.269066,148935500
27-03-2012,87.78286,88.040001,86.580002,86.597145,76.199097,151782400
28-03-2012,88.23143,88.778572,87.187141,88.339996,76.58847,163865100
29-03-2012,87.122856,88.080002,86.747147,87.540001,75.626198,152059600
30-03-2012,85.650002,87.222855,85.419998,86.96714,74.347702,182759500
02-04-2012,88.375717,88.395714,85.76857,85.975716,76.71373,149587900
03-04-2012,89.902855,90.315712,88.93,89.614288,78.039345,208639900
04-04-2012,89.187141,89.408569,88.14286,89.192856,77.418076,143245200
05-04-2012,90.525711,90.665718,89.057144,89.568573,78.580025,160324500
09-04-2012,90.889999,91.405716,89.328575,89.447144,78.89621,149384200
10-04-2012,89.777145,92,89.428574,91.418571,77.930214,222431300
11-04-2012,89.457146,90.98143,89.048569,90.885712,77.652458,174153700
12-04-2012,88.96714,90.190002,88.64286,89.285713,77.227119,153584200
13-04-2012,86.461426,89.242859,86.215714,89.158569,75.052063,214911200
16-04-2012,82.875717,87.182854,82.60714,87.151428,71.939499,262696700
17-04-2012,87.099998,87.14286,81.701431,82.705711,75.606346,256382000
18-04-2012,86.905716,88.60714,86.101425,87.674286,75.437706,238632800
19-04-2012,83.919998,86.389999,83.502853,85.745712,72.845993,208679800
20-04-2012,81.854286,84.945717,81.488571,84.482857,71.052872,257746300
23-04-2012,81.671425,82.381432,79.517143,81.515717,70.894127,241632300
24-04-2012,80.040001,81.098572,79.285713,80.372856,69.477982,269037300
25-04-2012,87.14286,88.285713,86.571426,87.94857,75.643555,226444400
26-04-2012,86.814285,87.812859,86.01857,87.752853,75.35833,134017100
27-04-2012,86.14286,86.597145,85.785713,86.438568,74.775505,101680600
30-04-2012,83.425713,85.485718,83.285713,85.400002,72.416931,126536200
01-05-2012,83.16143,85.251427,83.03286,83.557144,72.1875,152749800
02-05-2012,83.711426,83.914284,82.694283,82.891426,72.66494,106847300
03-05-2012,83.117142,84.485718,82.900002,84.35714,72.149063,97637400
04-05-2012,80.75,82.622856,80.738571,82.440002,70.094284,132498100
07-05-2012,81.354286,81.824287,80.175713,80.214287,70.618835,115029600
08-05-2012,81.168571,81.64286,79.818573,81.368568,70.457634,124313000
09-05-2012,81.311432,81.997147,80.121429,80.528572,70.581635,120176000
